"","SCI_NAME_KEY","prev","COM_NAME","SPECIES_CODE","COUNT","X","GROUP","HIGHLIGHT_GROUP"
"1","Acanthis_flammea",0.510566904431761,"Common Redpoll","comred",25302,487,"landbird","landbird"
"2","Accipiter_cooperii",2.54778191756081,"Cooper's Hawk","coohaw",1006627,69,"landbird","landbird"
"3","Accipiter_striatus",1.09014004568962,"Sharp-shinned Hawk","shshaw",409205,160,"landbird","landbird"
"4","Actitis_macularius",0.0263518003456324,"Spotted Sandpiper","sposan",683275,103,"shorebird","shorebird"
"5","Aechmophorus_clarkii",4.9998374e-05,"Clark's Grebe","clagre",105323,333,"waterbird","waterbird"
"6","Aechmophorus_occidentalis",0.00992047363257508,"Western Grebe","wesgre",282462,203,"waterbird","waterbird"
"7","Aeronautes_saxatalis",4.9998374e-05,"White-throated Swift","whtswi",129733,308,"landbird","landbird"
"8","Agelaius_phoeniceus",3.88262975358337,"Red-winged Blackbird","rewbla",4310234,7,"landbird","blackbird"
"9","Agelaius_tricolor",4.9998374e-05,"Tricolored Blackbird","tribla",29572,468,"landbird","blackbird"
"10","Aimophila_ruficeps",4.9998374e-05,"Rufous-crowned Sparrow","rucspa",86196,346,"landbird","landbird"
"11","Aix_sponsa",0.611775617898378,"Wood Duck","wooduc",1035772,65,"waterfowl","waterfowl"
"12","Alca_torda",0.158210498339656,"Razorbill","razorb",24774,494,"waterbird","waterbird"
"13","Alopochen_aegyptiaca",0.000242261116546589,"Egyptian Goose","egygoo",31627,457,"waterfowl","waterfowl"
"14","Amazilia_yucatanensis",0.00277057860414612,"Buff-bellied Hummingbird","bubhum",43512,423,"landbird","landbird"
"15","Amazona_viridigenalis",4.9998374e-05,"Red-crowned Parrot","recpar",23650,500,"landbird","landbird"
"16","Ammodramus_savannarum",0.0104541581635733,"Grasshopper Sparrow","graspa",125770,313,"landbird","landbird"
"17","Ammospiza_caudacuta",0.00214926519513984,"Saltmarsh Sparrow","sstspa",24824,492,"landbird","landbird"
"18","Ammospiza_maritima",0.00291514043851348,"Seaside Sparrow","seaspa",45174,418,"landbird","landbird"
"19","Amphispiza_bilineata",0.000122582514202764,"Black-throated Sparrow","bktspa",132209,306,"landbird","landbird"
"20","Anas_acuta",0.91946898481293,"Northern Pintail","norpin",443771,150,"waterfowl","waterfowl"
"21","Anas_crecca",0.754268128723284,"Green-winged Teal","gnwtea",737058,91,"waterfowl","waterfowl"
"22","Anas_fulvigula",0.00429087483029139,"Mottled Duck","motduc",215947,236,"waterfowl","waterfowl"
"23","Anas_platyrhynchos",22.147848231754,"Mallard","mallar3",3783031,15,"waterfowl","waterfowl"
"24","Anas_rubripes",5.89851656281127,"American Black Duck","ambduc",561643,121,"waterfowl","waterfowl"
"25","Anhinga_anhinga",0.150332327086437,"Anhinga","anhing",395926,164,"waterbird","waterbird"
